Weight,Length1,Length2,Length3,Height,Width,Species
242,23.2,25.4,30,11.52,4.02,Bream
290,24,26.3,31.2,12.48,4.3056,Bream
340,23.9,26.5,31.1,12.3778,4.6961,Bream
363,26.3,29,33.5,12.73,4.4555,Bream
430,26.5,29,34,12.444,5.134,Bream
450,26.8,29.7,34.7,13.6024,4.9274,Bream
40,12.9,14.1,16.2,4.1472,2.268,Roach
69,16.5,18.2,20.3,5.2983,2.8217,Roach
78,17.5,18.8,21.2,5.5756,2.9044,Roach
87,18.2,19.8,22.2,5.6166,3.1746,Roach
270,23.6,26,28.7,8.3804,4.2476,Whitefish
55,13.5,14.7,16.5,6.8475,2.3265,Parkki
60,14.3,15.5,17.4,6.5772,2.3142,Parkki
5.9,7.5,8.4,8.8,2.112,1.408,Perch
32,12.5,13.7,14.7,3.528,1.9992,Perch
40,13.8,15,16,3.824,2.432,Perch
51.5,15,16.2,17.2,4.5924,2.6316,Perch
70,15.7,17.4,18.5,4.588,2.9415,Perch
100,16.2,18,19.2,5.2224,3.3216,Perch
78,16.8,18.7,19.4,5.1992,3.1234,Perch
80,17.2,19,20.2,5.6358,3.0502,Perch
85,17.8,19.6,20.8,5.1376,3.0368,Perch
200,30,32.3,34.8,5.568,3.3756,Pike
300,31.7,34,37.8,5.7078,4.158,Pike
300,32.7,35,38.8,5.9364,4.3844,Pike
6.7,9.3,9.8,10.8,1.7388,1.0476,Smelt
7.5,10,10.5,11.6,1.972,1.16,Smelt
